State_Name,State_District_Name,Population_Rural,Population_Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Femal Rural,Fever FemaleUrban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Womene Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Uttar Pradesh,Gorakhpur,67901,28596,73.07,75.62,6.75,7.73,72.64,70.04,65.95,64.33,87.61,82.88,1119.84,1554.14,1147.96,1204.06,3725.18,3658.09,3653.57,3707.22,1467.33,843.05,1708.68,926.81,6493.22,6121.25,6741.32,5948.99,99.57,99.81,99.41,99.88,99.71,99.73,4.07,6.95,3.96,7.31,4.16,6.54,88.41,94.71,97.86,97.86,98.36,99.32,95.36,95.02
Uttar Pradesh,Hamirpur,54416,8367,82.06,85.66,0.68,3.23,76.46,69.53,50.21,52.33,97.38,93.91,96.57,71.19,137,189.8,1789.35,1162.79,1998.85,1518.44,574.78,379.69,935.38,921.91,2681.61,1756.05,3722.54,2792.84,85.69,90.96,85.71,91.89,85.68,90.29,25.91,37.27,26.58,39.71,25.35,35.48,47.12,70.64,54.19,61.64,97.9,99.31,95.3,97.54
Uttar Pradesh,Hardoi,46936,5631,68.87,76.54,15.55,14.4,71.16,71.6,51.1,56.79,82.17,84.77,708.28,889.5,896.4,792.71,1084.98,2429.01,1202.97,3527.55,3241.26,3079.03,4646.94,3448.28,5281.72,6979.13,7083.86,8363.06,97.7,100,96.86,100,98.4,100,5.82,5.06,5.79,4.41,5.84,5.69,88.01,74.34,83.08,50.12,99.93,99.64,94.78,83.09
Uttar Pradesh,Hathras,44520,10542,68.33,70.65,1.9,4.73,70.76,63.93,57.59,48.26,93.99,90.05,752.28,485.52,816.85,342.47,12221.93,10249.96,13167.07,11108.73,3089.08,1060.96,3437.43,1476.88,16641.52,12299.95,18053.56,13784.25,93.63,94.35,92.57,95.32,94.75,93.32,5.91,4.47,5.33,4.91,6.51,3.99,45.65,75.29,56.31,77.94,97.84,99.38,96.37,96.8
Uttar Pradesh,Jalaun,42720,10785,82.43,65.47,5.83,17.27,69.8,56.59,56.97,45.8,92.91,80.58,62.05,69.98,70.24,63.41,1242.5,297.41,1313.77,443.88,641.3,227.43,874.93,549.57,2093.39,594.82,2483.2,1141.41,97.81,100,96.87,100,98.72,100,15.99,18.18,15.22,14.71,16.72,20.37,84.88,91.48,74.78,76.62,99.37,99.21,97.3,99.94
Uttar Pradesh,Jaunpur,40220,3065,76.12,NA,7.34,NA,68.85,NA,61.3,NA,84.23,NA,351.43,NA,379.15,NA,6557.21,NA,6154.16,NA,1123.58,NA,1028.49,NA,8151.6,NA,7702.62,NA,99.52,NA,99.22,NA,99.81,NA,11.26,NA,12.06,NA,10.47,NA,91.56,NA,94.38,NA,98.05,NA,95.35,NA
Uttar Pradesh,Jhansi,39734,33856,88.15,94.02,4.4,2.56,77.97,86.54,68.31,78.53,94.08,97.33,196.67,228.51,136.07,103.58,1111.38,1187.16,813.68,1307.7,1184.49,1549.44,1805.86,2188.13,2759.42,3149.04,3006.49,3761.25,58.41,97.82,58.1,97.88,58.73,97.76,25.29,19,27.46,18.81,23.02,19.19,64.98,92.41,78.62,91.69,99.13,99.68,91.98,97.01
Uttar Pradesh,Jyotiba Phule Nagar,30274,7653,62.2,61.09,4.1,2.89,67.9,62.7,55.28,60.45,86.57,91.64,243.71,578.03,355.73,419.23,9064.7,4177.61,9275.26,5422.02,4936.5,3652.13,6882.95,4835.1,14902.97,8906.99,17350.8,11375.07,97.15,98.79,97.55,99.12,96.78,98.53,3.04,3.93,3.26,3.87,2.83,3.99,68.41,77.3,69.57,82.24,97.87,99.65,98.43,98.41
Uttar Pradesh,Kannauj,131321,25111,64.56,61.87,2.11,6.75,62.5,55.51,47.24,42.8,91.56,85.5,544.98,489.8,502.3,326.32,16031.6,15673.68,16953.75,17415.2,3827.25,2778.22,4860.84,3520.82,20641.94,19102.3,22583.69,21434.09,96.15,98.24,96.42,98.23,95.87,98.24,8.94,7.31,8.95,7.49,8.94,7.14,64.17,72.11,65.2,79.78,96.07,96.89,93.81,93.41
Uttar Pradesh,Kanpur Dehat,47255,3371,75.76,NA,5.96,NA,81.09,NA,62.44,NA,93.5,NA,103.99,NA,97.27,NA,1242.88,NA,1011.59,NA,4032.74,NA,5242.09,NA,5740.1,NA,6750.84,NA,98.14,NA,98.51,NA,97.77,NA,16.55,NA,18.07,NA,15.02,NA,67.47,NA,67.35,NA,99.01,NA,99.37,NA
Uttar Pradesh,Kanpur Nagar,40483,103699,78.41,77.66,2.62,10.87,84.57,70.83,72.51,53.24,96.62,86.17,228.69,198.1,200.5,155.64,3953.74,3936.02,4237.95,5185.91,4792.79,2847.41,2694.32,3281.45,8990.89,7496.2,7149.38,9228.27,99.95,100,99.91,100,100,100,10.24,8.54,9.17,8.62,11.8,8.46,80.42,95.9,80.35,79.6,99.11,99.42,91.92,88.43
Uttar Pradesh,Kaushambi,62438,5134,73.36,57.32,20.13,35.98,56.09,39.63,47.88,31.71,74.69,60.98,756.42,332.23,821.85,326.04,4615.44,6312.29,3961.68,7778.3,2975.28,1613.67,3340.93,1630.18,8559.29,8448.03,8373.09,9967.4,99.81,100,99.88,100,99.74,100,6.52,7.14,7.05,5.62,6.02,8.41,79.22,86.04,96.17,98.01,98.72,99.87,93.99,92.15
Uttar Pradesh,Kheri,56245,4655,66.19,97,14.37,1,64.68,92,37.04,52,82.84,99,2020.95,802.36,2284.31,607.19,1674.97,1900.34,1760.2,2008.41,3227.62,2364.86,4192.46,2615.6,7482.29,6207.77,8914.77,6212.05,99.13,100,99.2,100,99.07,100,12.54,16.07,11.89,19.73,13.16,12.03,50.65,89.7,39.77,82.3,93.86,96.04,88.13,94.58
Uttar Pradesh,Kushinagar,47425,946,70.32,NA,8.08,NA,64.5,NA,60.69,NA,83.13,NA,941.05,NA,726.96,NA,6802.29,NA,6390.7,NA,1213.8,NA,1688.1,NA,9400.06,NA,9424.7,NA,99.6,NA,99.66,NA,99.56,NA,6.18,NA,6.12,NA,6.22,NA,82.82,NA,97.28,NA,99.2,NA,96.51,NA
Uttar Pradesh,Lalitpur,35126,4403,93.42,95.65,3.85,0.72,70.59,94.93,51.06,85.51,94.81,97.1,304.74,695.35,26.69,696.52,325.47,260.76,1698.81,646.77,2679.96,1216.86,3580.99,1890.55,4217.98,2607.56,8017.38,3980.1,76.88,78.57,96.75,100,64.99,62.5,24.22,28.18,10.61,25,36.35,32,66.5,88.86,78.7,83.62,98.94,98.12,99.38,99.46
Uttar Pradesh,Lucknow,47267,58271,90.24,91.88,2.72,3.83,88.82,90.03,61.38,76.68,96.82,95.71,851.05,436.56,913.68,528.94,2844.95,1559.64,3119.46,1635.59,3493.65,2436.1,4482.6,3263.68,7368.86,4688.91,8853.36,5747.08,97.61,96.94,97.3,96.94,97.91,96.93,11.86,15.41,11.78,15.54,11.94,15.29,81.02,95.27,78.54,88.01,95.99,97.58,90.95,93.54
Uttar Pradesh,Maharajganj,64373,3890,68.29,NA,8.58,NA,63.39,NA,58.12,NA,82.08,NA,1079.33,NA,949.54,NA,5957.92,NA,5758.33,NA,1156.63,NA,1313.64,NA,8377.74,NA,8189.16,NA,99.72,NA,99.78,NA,99.66,NA,4.15,NA,4.54,NA,3.8,NA,89.62,NA,95.85,NA,98.83,NA,96.53,NA
Uttar Pradesh,Mahoba,45973,17564,89.83,85.55,0.95,2.82,80.68,68.6,68.35,64.95,97.45,96.51,88.91,67.22,63.7,63.96,144.19,246.47,234.01,255.85,1565.5,1165.14,1784.83,1599.08,1945.21,1523.64,2107.61,2034.03,98.35,100,100,100,96.63,100,28.02,32.2,27.53,30.88,28.55,33.33,54.15,76.84,91.42,98.79,99.23,98.87,96.71,98.19
Uttar Pradesh,Mainpuri,51798,9025,55.96,59.01,2.87,2.09,64.15,65.01,49.65,55.61,88.19,89.82,388.46,495.61,293.73,164.2,12322.29,10633.03,12197.66,11775.74,2140.52,1351.66,2828.78,2275.39,15218.33,12840.73,15743.59,14543.75,97.35,95.13,99.27,95.26,95.36,95,19.72,19.52,20.99,18.97,18.36,20.03,63.24,75.36,56.35,69.45,95.48,97.81,96.25,95.02
Uttar Pradesh,Mathura,44037,15893,64.95,81.25,2.63,2.47,58.49,68.42,42.94,50.66,86.73,92.11,362.8,539.31,343.39,676.72,17473.34,16095.4,17884.21,18750.88,2279.13,1498.08,3080.35,1987.88,20513.69,18600.19,21888.97,22120.4,91.79,96.28,91.62,96.84,91.97,95.73,2.86,4.66,2.12,4.13,3.66,5.19,55.21,75.55,57.56,73.49,91.9,98.16,96.52,94.98
Uttar Pradesh,Mau,60305,14445,71.66,66.99,8.78,7.18,63.34,59.81,53.65,54.37,84.86,79.22,1660.56,700.58,1511.38,671.72,10573.48,9491.24,9898.17,11367.55,7577.02,5170.98,9746.43,7423.36,20144.94,15462.89,21498.87,19789.87,98.27,99.61,98.21,99.57,98.31,99.65,4.7,2.8,4.31,3.25,5.04,2.45,87.42,97.88,94.93,97.73,97.88,99.07,95.07,92.41
Uttar Pradesh,Meerut,50081,27607,64.58,59.96,2.6,3.14,73.26,68.6,59.67,55.05,93.05,88.42,714.39,516.83,660.6,507.57,11826.8,10085.21,12865.49,10854.29,4520.73,2276.85,4644.19,2397.31,17654.84,13242.07,18891.8,14251.13,96.68,96.72,96.82,97.26,96.54,96.16,3.54,2.89,3.91,3.15,3.15,2.62,71.68,83.1,58.4,77.51,97.21,98.65,97.84,98.14
Uttar Pradesh,Mirzapur,34551,3629,67.66,70.08,11.15,7.87,56.24,58.27,43.61,44.88,80.19,77.95,515.71,545.85,411.96,192.31,3923.3,6659.39,4015.48,6730.77,2940.71,1965.07,3109.4,1923.08,8028.67,9497.82,8362.47,9423.08,99.44,100,99.49,100,99.39,100,5.68,4.67,4.69,4.6,6.65,4.76,69.44,86.52,96.7,97.67,98.05,99.83,96.28,96.17
Uttar Pradesh,Moradabad,48627,18005,62.24,70.31,4.01,3.6,70.77,73.26,50.39,57.33,91.59,94.09,836.56,341.66,707.54,454.98,5410.43,4185.35,6053.77,4621.65,4543.27,3907.75,5716.98,4741.38,11880.97,9054.03,13977.3,10716,95.83,99.6,96.08,99.76,95.59,99.44,2.71,2.65,3.25,2.6,2.21,2.7,54.84,83,48.38,52.96,99.12,99.96,98.58,99.18
Uttar Pradesh,Muzaffarnagar,61454,14295,61.11,69.26,3.38,2.42,70.44,71.33,51.81,58.2,89.88,91.71,392.07,404.69,343.01,327.05,17427.9,16120.33,19435.29,18813.27,1994.1,1389.45,2434.42,1728.7,20320.98,18561.99,22893.24,21663.29,98.09,98.01,98.15,98.04,98.03,97.99,4.08,6.9,3.97,6.6,4.18,7.19,79.2,90.26,78.91,80.48,99.13,98.58,98.27,97.41
Uttar Pradesh,Pilibhit,36896,6142,60.91,77.46,4.78,3.17,68.66,73.24,54.96,59.51,90.18,95.42,789.28,478.93,654.91,315.79,15039.24,10600.26,15124.14,11508.77,6435.03,4821.2,7166.9,5228.07,22611.81,16060.03,23377.46,17228.07,97.47,98.89,97.45,99.2,97.5,98.57,3.04,3.15,3.04,3.01,3.04,3.31,41.33,69.96,36.88,47.08,99.11,99.76,96.3,97.62
Uttar Pradesh,Pratapgarh,83171,3599,77.4,87.95,9.14,6.02,71.51,80.12,64.26,76.51,84.1,90.96,979.33,1383.65,994.3,1138.52,3954.23,6100.63,3638.36,6198.61,6570.5,4276.73,5969.11,3858.32,11815.1,11823.9,10908.59,11321.95,99.69,100,99.73,100,99.65,100,7.81,9.26,8.25,9.57,7.4,8.94,83.5,99.62,93.23,93.19,97.72,99.81,94.4,98.3
Uttar Pradesh,Rae Bareli,61580,5355,75.81,84.85,3.01,5.05,76.83,85.86,54.74,55.56,94.86,90.91,1296.24,964.39,1255.48,1447.42,391.47,408.01,363.75,936.57,3394.08,3115.73,4339.37,3746.28,5256.06,4562.31,6225.18,6172.84,100,100,100,100,100,100,13.43,17.91,12.7,20.33,14.06,15.86,75.79,92.88,58.47,76.91,98.2,100,90.93,93.14
Uttar Pradesh,Rampur,52283,14177,58.47,59.44,3.32,4.02,73.9,76.05,61.13,62.76,91.78,91.43,536.22,406.5,516.67,256.49,29682.28,27936.64,32356.83,32060.95,4058.62,2396.97,4632.81,2761.01,34732.17,31090.55,37959.46,35561.26,96.85,98.3,96.79,98.15,96.91,98.43,5.21,4.31,5.14,4.41,5.27,4.22,51.97,82.91,50.57,61.25,98.68,98.16,98.22,98.37
Uttar Pradesh,Saharanpur,47551,10959,69.59,80,1.06,0.44,83.68,80.89,77.65,76.67,96.44,97.56,295.37,305.04,339.05,278.05,8719.42,7285.12,10628.08,9016.88,4499,1955.86,5543.4,2879.84,13664.72,9653.69,16688.18,12373.39,99.11,98.97,99.18,98.88,99.05,99.04,4.68,8.53,4.63,8.65,4.73,8.43,72.11,86.9,77.44,84.27,98.49,98.87,99.05,98.62
Uttar Pradesh,Sant Kabir Nagar,40327,3222,82.92,NA,4.25,NA,70.99,NA,58.53,NA,83.18,NA,900.29,NA,592.02,NA,4819.72,NA,5373.84,NA,804.95,NA,1178.54,NA,6659.2,NA,7292.8,NA,99.42,NA,99.65,NA,99.25,NA,4.01,NA,3.7,NA,4.24,NA,93.94,NA,97.74,NA,98.88,NA,98.56,NA
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),49036,6700,63.81,50,17.24,23.53,55.56,41.18,43.84,28.92,75.73,67.65,664.86,313.09,431.57,240.3,3374.1,3036.94,3599.83,3295.57,951.75,1095.8,990.9,823.89,5384.81,4665,5340.86,4634.4,99.77,99.65,99.85,100,99.69,99.26,5.43,3.53,6.23,3.36,4.66,3.73,82.93,86.2,95.25,97.93,98.27,99.89,91.16,92.17
Uttar Pradesh,Shahjahanpur,46239,9068,49.74,63.55,4.59,2.1,53.8,65.89,38.56,56.07,84.88,92.52,511.21,321.13,372.81,264.55,13914.2,17876.26,14249.63,17772.97,2922.02,2997.22,3249.28,1996.15,17787.71,21387.28,18226.5,20202.02,95.93,97.06,95.91,97.5,95.96,96.55,2.06,2.8,2,2.98,2.13,2.59,54.52,85.87,35.56,65.39,99.43,99.77,94.39,97.02
Uttar Pradesh,Shrawasti,36664,1467,45.1,NA,31.06,NA,33.06,NA,24.37,NA,50.82,NA,430.76,NA,328.58,NA,10456.92,NA,11279.95,NA,1875.07,NA,1788.97,NA,13101.46,NA,13704.45,NA,99.86,NA,99.9,NA,99.82,NA,10.31,NA,10.98,NA,9.68,NA,84.74,NA,94.17,NA,98.63,NA,96.13,NA
Uttar Pradesh,Siddharthnagar,53756,2482,70.53,NA,13.83,NA,57.56,NA,50.91,NA,76.27,NA,482.42,NA,431.29,NA,8108.51,NA,7971.02,NA,930.09,NA,958.5,NA,9646.08,NA,9562.03,NA,99.65,NA,99.69,NA,99.62,NA,4.06,NA,4.55,NA,3.65,NA,88.14,NA,95.15,NA,99.09,NA,95.35,NA
Uttar Pradesh,Sitapur,45469,4768,69.19,66.67,18.07,20.16,53.67,57.2,34.38,45.27,78.94,74.07,914.63,857.84,802.53,550.96,4518.29,3839.87,4877.59,5050.51,2159.23,1062.09,2528.03,1882.46,7899.03,6903.59,8606.59,8218.55,91.34,89.66,91.29,88.76,91.38,90.5,7.21,11.22,7.31,10,7.1,12.35,57.77,94.95,52.86,60.41,91.72,96.53,96.51,95.27
Uttar Pradesh,Sonbhadra,29171,4391,48.5,52.25,27.19,27.93,36.39,49.55,31.44,44.14,60.75,63.06,381.43,505.98,287.77,272.48,6247.7,6623.74,6353.66,6648.5,13753.16,4645.81,12799.51,5885.56,20622.47,11775.53,19618.95,13133.51,99.82,100,99.81,100,99.83,100,6.14,19.08,5.59,18.29,6.73,19.92,34.75,83.88,94.29,97.88,97.31,99.01,95.24,96.04
Uttar Pradesh,Sultanpur,58412,3511,81.4,NA,5.3,NA,71.75,NA,46.03,NA,93.85,NA,278.27,NA,254.77,NA,2848.27,NA,3272.07,NA,2697.52,NA,3095.68,NA,6421.16,NA,7617.99,NA,95.43,NA,97.83,NA,93.45,NA,9.09,NA,9.63,NA,8.62,NA,96.64,NA,46.18,NA,99.78,NA,99.88,NA
Uttar Pradesh,Unnao,59491,10195,79.97,84.29,8.51,9.97,74.62,69.18,62.95,63.75,91.18,89.73,264.85,155.67,278.76,170.83,796.53,1323.21,867.61,960.92,1848.89,2043.2,2640.32,2284.86,3609.47,4280.99,4806.83,4035.87,98.53,100,99.36,100,97.84,100,9.51,11.74,11.55,11.36,7.78,12.17,72.11,86.33,42.89,93.13,95.63,98.61,79.27,96.5
Uttar Pradesh,Varanasi,52489,33777,81.44,79.67,6.71,7.83,72.77,65.54,67.72,61.21,88.73,82.13,1020.03,784.31,1013.96,834.8,3142.17,4200.83,4002.46,4194.38,8069.27,7266.79,8829.12,8198.72,12696.83,12578.73,14161.88,13540.11,99.84,99.73,99.86,99.72,99.81,99.75,6.09,6.53,6.38,6.21,5.82,6.88,89.63,94.53,97.79,98.98,99.81,99.54,97.18,96.73
Uttarakhand,Almora,112008,8649,63.08,87.43,1.43,1.14,93.75,97.14,87.13,90.29,97.05,98.86,176.2,146.16,156.54,98.43,396.98,730.82,435.82,1328.74,849.15,341.05,1142.02,344.49,1942.43,1339.83,2433.47,1968.5,94.48,94.07,94.97,96.36,94.23,93.75,41.12,50.39,41.08,50.94,41.19,50.67,92.08,98.73,64.13,86.85,97.66,99.2,96.44,98.52
Uttarakhand,Bageshwar,111343,3270,52.31,76.92,3.64,1.28,87.14,85.9,82.46,84.62,94.12,97.44,206.62,426.31,225.09,646.41,1037.37,1400.73,1159.31,1745.31,2083.49,1522.53,3372.31,1874.6,3906.7,3775.88,5507.75,4848.09,92.46,95.62,93.34,95.16,91.93,96,63.27,87.02,66.43,79.66,61.26,93.06,91.01,99.47,86.21,90.81,98.73,96.64,97.73,97.35
Uttarakhand,Chamoli,137156,23957,46.78,77.72,1.13,0.8,93.32,93.9,87.28,91.11,97.53,98.81,71.04,32.93,66.92,9.06,745.13,4700.75,1421.42,8035.15,1905.44,2132.21,3100.36,2545.52,2773.7,6931.75,4648.35,10725.61,92.51,96.64,91.58,96.67,93.02,96.62,36.19,24.82,39.4,27.03,34.45,23.25,90.28,95.82,72.55,91.59,98.52,98.98,96.25,97.86
Uttarakhand,Champawat,24238,4241,68.87,73.79,1.23,5.52,92.05,83.45,88.69,81.38,98.21,92.41,174.08,46.23,148.71,257.07,1192.44,554.79,1338.4,565.55,1061.89,1664.36,1239.26,1902.31,4473.84,3929.73,4824.85,5192.8,97.18,100,95.91,100,98.46,100,23.99,17.2,24.75,15.29,23.3,18.81,96.56,95.67,97.81,93.85,99.61,99.72,98.68,99.02
Uttarakhand,Dehradun,147029,155980,90.05,93.92,2.3,1.87,88.71,93.25,83.83,89.91,96.81,97.97,374.04,462.34,364.5,562.88,2294.8,3027.44,2980.83,3313.46,2613.96,1333.1,2896.72,1385.44,5449.76,4890.28,6494.98,5370.59,99.65,99.92,99.72,99.92,99.59,99.92,13.34,16.75,11.78,17.77,14.71,15.76,94.55,97.22,97.49,97.19,98.92,99.16,96.54,97.03
Uttarakhand,Haridwar,43437,25776,73.17,86.26,16.47,8.65,63.52,79.53,54.9,74.31,80.04,90.25,590.69,384.62,614.2,174.05,5234,1739.51,5620.36,2349.64,26085.32,15576.92,25662.43,15006.77,31991.4,17770.98,31974.12,17598.14,100,100,100,100,100,100,8.48,6.46,5.59,6.2,11.79,6.76,89.87,94.92,97.15,97.2,99.34,97.84,97.43,96.9
Uttarakhand,Nainital,63730,36814,77.02,82.06,1.71,2.25,90.3,89.72,88.24,85.39,95.88,97.11,327.8,565.9,323.46,600.93,945.57,1898.67,1337.2,2368.73,2291.42,2633.81,2981.19,3086.35,4251.9,5214.72,5302.12,6236.87,96.19,98.35,96.81,98.78,95.66,97.94,38.06,40.62,37.21,40.45,38.79,40.78,96.91,96.43,68.39,77.6,99.13,98.15,97.73,97.71
Uttarakhand,Pauri Garhwal,188897,24187,87.38,87.72,1.24,1.1,90,90.55,84.06,84.72,97.19,95.59,365.39,322.78,382.06,416.16,1407.26,1260.84,1636.92,1715.39,1595.3,1270.93,1821.32,1349.98,3429.06,2975.59,3903.98,3633.78,99.77,100,99.77,100,99.77,100,26.41,24.35,27.34,25.42,25.72,23.46,92.4,96.74,95.53,98.5,97.74,99.84,95.71,96.2
Uttarakhand,Pithoragarh,84627,18372,66.41,93.56,1.43,0.4,92.45,97.18,87.66,94.97,97.73,99.6,211.19,213.53,222.9,232.87,625.84,1078.89,591.27,1330.67,1589.06,1786.92,2437.82,2328.68,2572.89,7777.03,3477.24,8593.92,91.5,93.59,93.79,96.1,89.95,91.35,50.31,26.29,48.77,27.82,51.39,24.86,95.41,99.17,97.43,99.05,99.46,99.39,96.66,99.14
Uttarakhand,Rudraprayag,138266,759,59.35,NA,1.68,NA,91.24,NA,85.68,NA,97.2,NA,49.21,NA,40.04,NA,2411.09,NA,3029.26,NA,1856.25,NA,4440.33,NA,4391.2,NA,7570.38,NA,93.1,NA,92.97,NA,93.16,NA,46.22,NA,41.6,NA,48.39,NA,93.53,NA,49.33,NA,99.24,NA,97.37,NA
Uttarakhand,Tehri Garhwal,181918,23657,76.63,93.27,6.13,2.66,81.18,89.05,74.85,84.82,87.61,95.93,296.89,450.62,284.91,461.92,4218.17,4515.36,5023.49,5002.46,1927.56,947.21,3162.05,1375.92,6581.07,6133.9,8620.54,7262.9,99.78,99.93,99.69,100,99.83,99.86,25.9,23.06,22.56,24.59,27.89,21.68,86.19,96.03,95.37,97.31,96.77,99.06,94.31,98.03
Uttarakhand,Udham Singh Nagar,64614,26904,74.89,79.77,2.6,3.25,89.53,86.79,83.35,82.18,96.46,96.65,168.88,321.22,211.36,382.05,437.27,542.51,478.86,829.13,1305.79,1513.31,1994.72,2015.93,2349.22,2655.44,3272.79,3503.5,97.46,98.13,97.3,98.12,97.78,98.14,18.26,16.37,17.81,16.99,18.58,15.84,91.55,98.81,46.68,45.5,98.39,99.41,98.68,97.44
Uttarakhand,Uttarkashi,67984,8664,86.48,94.09,7.35,3.76,83.17,89.25,74.22,79.03,91.13,95.7,1243.37,602.69,1439.56,790.31,652.82,695.41,1125.66,1159.11,4522.39,2758.46,5867.63,5558.48,6479.23,4172.46,8563.24,7586.93,99.72,99.36,99.72,100,99.72,98.96,25.47,31.97,26.62,30,24.62,33.22,86.32,98.89,95.37,98.52,95.95,99.04,91.32,93.77
